Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,1,a,69.066667,14,1,1,a,52.3046043,13.77106214,182,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,5,b,55.666667,18,1,3,,39.35367005,13.63040613,141,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,4,,59.666667,18,1,3,,35.02693346,14.52429505,129,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,3,,63.833333,18,1,3,,33.63726186,10.46946438,187,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,2,,67.866667,18,1,3,,31.09816077,8.609124504,71,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,1,a,69.066667,18,1,3,,29.69897463,17.21382767,182,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,5,b,55.666667,22,1,5,b,28.49794706,9.086214051,141,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,4,,59.666667,22,1,5,b,27.36425315,11.61735519,129,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,3,,63.833333,22,1,5,b,24.18639714,10.46696451,187,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,2,,67.866667,22,1,5,b,21.2639699,6.456843378,71,
Laugen et al. 2003,Latitudinal countergradient variation in the common frog(Rana temporaria) development rates – evidence for localadaptation,developmental rate,Counter,1,a,69.066667,22,1,5,b,19.41796638,12.91283692,182,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,1,1,a,21.38,0.674092,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,1,1,a,21.52,0.835225,109,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,1,1,a,21.74,0.617009,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,1,1,a,21.9,0.695701,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,1,1,a,24.15,1.038268,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,1,1,a,24.95,0.648074,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,1,2,,16.92,0.606218,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,1,2,,16.94,1.026012,87,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,1,2,,18.57,1.133314,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,1,2,,18.65,0.926876,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,1,2,,19.35,1.290349,74,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,1,2,,19.65,1.333229,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,1,3,,12.04,0.448999,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,1,3,,12.2,0.675056,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,1,3,,12.91,0.33541,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,1,3,,13.18,0.598665,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,1,3,,14,0.428486,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,1,3,,14.36,0.494975,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,1,4,,10.2,0.367423,54,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,1,4,,10.25,0.491121,67,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,1,4,,10.85,0.357071,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,1,4,,11.03,0.542218,60,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,24,1,4,,11.28,0.464758,60,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,24,1,4,,11.4,0.456946,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,26,1,5,,9.37,0.432666,52,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,26,1,5,,9.41,0.590931,97,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,26,1,5,,9.48,0.456946,58,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,26,1,5,,9.53,0.555608,63,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,26,1,5,,9.98,0.316228,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,26,1,5,,10.08,0.442719,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,28,1,6,b,7.26,0.261534,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,28,1,6,b,7.26,0.292404,95,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,28,1,6,b,8.35,0.379473,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,28,1,6,b,8.34,0.436807,53,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,28,1,6,b,8.53,0.379473,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,28,1,6,b,8.71,0.47244,62,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,16,1,1,a,9.76,0.58983,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,16,1,1,a,9.76,0.626418,109,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,16,1,1,a,9.77,0.411339,47,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,16,1,1,a,9.98,0.442719,40,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,16,1,1,a,10.25,0.519134,55,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,16,1,1,a,10.38,0.388844,42,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,19,1,2,,8.51,0.519615,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,19,1,2,,8.51,0.559643,87,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,19,1,2,,8.45,0.523068,76,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,19,1,2,,8.51,0.505569,71,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,19,1,2,,8.49,0.51614,74,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,19,1,2,,8.49,0.622174,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,22,1,3,,5.79,0.448999,78,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,22,1,3,,5.85,0.578619,88,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,22,1,3,,5.69,0.536656,80,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,22,1,3,,5.8,0.523832,79,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,5,,,22,1,3,,5.76,0.4999,75,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,6,a,,22,1,3,,5.76,0.565685,85,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,1,b,,24,1,4,,4.6,0.293939,54,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,2,,,24,1,4,,4.46,0.409268,67,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,3,,,24,1,4,,4.66,0.357071,51,
Tang et al. 2017 ,Latitudinal cogradient variation of development time and growth rate and a negative latitudinaly body weight cline in a widely distributed cabbage beetle,bunch of development,Co,4,,,24,1,4,,4.68,0.387298,60,
